ndexNr,pokemon,1,2,3,4,5,6,7,8,9
1,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/blastoise
2,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/wartortle,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/pikachu
3,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/pikachu
4,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/eevee,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/mewtwo
5,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/raichu
6,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/charmeleon,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/mewtwo,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/dragonite,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/squirtle
7,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/wartortle,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/jigglypuff,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/eevee
8,https://pokemonkg.org/instance/pokemon/wartortle,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/ivysaur,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/raichu,https://pokemonkg.org/instance/pokemon/pikachu
9,https://pokemonkg.org/instance/pokemon/blastoise,https://pokemonkg.org/instance/pokemon/charizard,https://pokemonkg.org/instance/pokemon/venusaur,https://pokemonkg.org/instance/pokemon/wartortle,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/gyarados,https://pokemonkg.org/instance/pokemon/snorlax,https://pokemonkg.org/instance/pokemon/pikachu
10,https://pokemonkg.org/instance/pokemon/caterpie,https://pokemonkg.org/instance/pokemon/metapod,https://pokemonkg.org/instance/pokemon/butterfree,https://pokemonkg.org/instance/pokemon/weedle,https://pokemonkg.org/instance/pokemon/pikachu,https://pokemonkg.org/instance/pokemon/bulbasaur,https://pokemonkg.org/instance/pokemon/charmander,https://pokemonkg.org/instance/pokemon/pidgey,https://pokemonkg.org/instance/pokemon/squirtle,https://pokemonkg.org/instance/pokemon/kakuna
